,Dataset,Step,Train_Loss,Eval_Loss,Eval_F1,Eval_Accuracy
0,COLA,33,0.3639,0.6688683032989502,0.709863296773168,0.7986577181208053
1,COLA,66,0.3769,0.6798989772796631,0.7015856462912455,0.7948226270373921
2,COLA,99,0.3886,0.6517986059188843,0.6997226808499812,0.7938638542665388
3,COLA,132,0.3631,0.6305822134017944,0.7006507301267126,0.7948226270373921
4,COLA,165,0.3351,0.6285682916641235,0.7015856462912455,0.7948226270373921
5,COLA,198,0.3688,0.6230296492576599,0.6987788349298075,0.7938638542665388
6,COLA,231,0.3383,0.608763575553894,0.6997226808499812,0.7938638542665388
7,COLA,264,0.3061,0.6076279282569885,0.6997226808499812,0.7938638542665388
8,COLA,297,0.3219,0.5990275740623474,0.709863296773168,0.7986577181208053
9,COLA,330,0.3229,0.599017858505249,0.709863296773168,0.7986577181208053
10,COLA,363,0.3528,0.5993866324424744,0.7080349976451547,0.7976989453499521
11,COLA,396,0.3318,0.5961145162582397,0.709863296773168,0.7986577181208053
12,MNLI,1533,0.4444,0.4634648859500885,0.8186389718611492,0.819969434538971
13,MNLI,3066,0.4387,0.4652389883995056,0.8188200406662921,0.8201732042791645
14,MNLI,4599,0.4405,0.4662332832813263,0.8184841219304021,0.8198675496688742
15,MNLI,6132,0.4443,0.46434053778648376,0.8196203250191562,0.8208863983698421
16,MNLI,7665,0.4435,0.46434253454208374,0.8186837233589285,0.8200713194090677
17,MNLI,9198,0.4672,0.4651181697845459,0.8188645224698302,0.8202750891492613
18,MNLI,10731,0.4362,0.4649769365787506,0.8190500368235316,0.8204788588894549
19,MNLI,12264,0.4398,0.46539774537086487,0.8191291566409248,0.8205807437595517
20,MRPC,14,0.3746,0.36679840087890625,0.7944275239706712,0.8357843137254902
21,MRPC,28,0.3673,0.36508628726005554,0.7966419437149892,0.8357843137254902
22,MRPC,42,0.3839,0.36589768528938293,0.7966419437149892,0.8357843137254902
23,MRPC,56,0.4296,0.36571046710014343,0.7966419437149892,0.8357843137254902
24,MRPC,70,0.3688,0.3651582598686218,0.8002077459563733,0.8382352941176471
25,MRPC,84,0.382,0.3648243248462677,0.8002077459563733,0.8382352941176471
26,MRPC,98,0.3836,0.3645651638507843,0.7966419437149892,0.8357843137254902
27,MRPC,112,0.4299,0.3647933602333069,0.7966419437149892,0.8357843137254902
28,QNLI,409,0.1699,0.4067526161670685,0.9054852149776926,0.9055464030752334
29,QNLI,818,0.1663,0.37667912244796753,0.9065957990051475,0.9066447007138935
30,QNLI,1227,0.1699,0.4057786166667938,0.9060455719301677,0.9060955518945635
31,QNLI,1636,0.1633,0.4182746112346649,0.9062125293528452,0.9062786015010068
32,QNLI,2045,0.1668,0.35528498888015747,0.9069636370219287,0.9070107999267801
33,QNLI,2454,0.1729,0.37774237990379333,0.9066003830747678,0.9066447007138935
34,QNLI,2863,0.1672,0.3622973561286926,0.9069605179521152,0.9070107999267801
35,QNLI,3272,0.1734,0.3635281026363373,0.9069605179521152,0.9070107999267801
36,QQP,1421,0.2358,0.24600285291671753,0.8905860331150187,0.8963393519663616
37,QQP,2842,0.1969,0.24772992730140686,0.8908345838857814,0.8968835023497403
38,QQP,4263,0.1916,0.2506566047668457,0.8907053383480115,0.8969577046747464
39,QQP,5684,0.196,0.2457079142332077,0.8911193424468412,0.8973287162997774
40,QQP,7105,0.1903,0.2482929527759552,0.8912225036795247,0.8973287162997774
41,QQP,8526,0.1865,0.24978111684322357,0.8912433233697039,0.897427652733119
42,QQP,9947,0.1888,0.24936522543430328,0.8909391718672822,0.8971061093247589
43,QQP,11368,0.1898,0.2493852972984314,0.8910137442601572,0.897180311649765
44,RTE,9,0.2895,0.8569421172142029,0.6596688034188034,0.6678700361010831
45,RTE,18,0.2783,0.8674225807189941,0.6555693714652441,0.6642599277978339
46,RTE,27,0.3382,0.8713027238845825,0.6547384504040851,0.6642599277978339
47,RTE,36,0.2975,0.8694438934326172,0.6547384504040851,0.6642599277978339
48,RTE,45,0.2955,0.8634534478187561,0.6588669950738917,0.6678700361010831
49,RTE,54,0.2881,0.8621202111244202,0.6588669950738917,0.6678700361010831
50,RTE,63,0.3252,0.8612022995948792,0.6588669950738917,0.6678700361010831
51,RTE,72,0.2997,0.8603830933570862,0.6588669950738917,0.6678700361010831
52,SST2,65,0.6097,,,
53,SST2,130,0.3282,,,
54,SST2,195,0.3304,,,
55,SST2,260,0.1536,,,
56,SST2,325,0.3988,,,
57,SST2,390,0.1976,,,
58,SST2,455,0.4518,,,
59,SST2,520,0.3111,,,
60,SST2,526,,0.5868672132492065,0.9011009300141902,0.9013761467889908
61,SST2,585,0.2405,,,
62,SST2,650,0.2706,,,
63,SST2,715,0.1296,,,
64,SST2,780,0.1924,,,
65,SST2,845,0.1318,,,
66,SST2,910,0.1687,,,
67,SST2,975,0.1072,,,
68,SST2,1040,0.182,,,
69,SST2,1052,,0.33434736728668213,0.9045844951122888,0.9048165137614679
70,SST2,1105,0.0929,,,
71,SST2,1170,0.0977,,,
72,SST2,1235,0.1328,,,
73,SST2,1300,0.1453,,,
74,SST2,1365,0.1184,,,
75,SST2,1430,0.0966,,,
76,SST2,1495,0.1055,,,
77,SST2,1560,0.1277,,,
78,SST2,1578,,0.3337711691856384,0.9045844951122888,0.9048165137614679
79,SST2,1625,0.1077,,,
80,SST2,1690,0.1389,,,
81,SST2,1755,0.0991,,,
82,SST2,1820,0.1126,,,
83,SST2,1885,0.1162,,,
84,SST2,1950,0.1277,,,
85,SST2,2015,0.1005,,,
86,SST2,2080,0.1018,,,
87,SST2,2104,,0.3239019513130188,0.9069239111671012,0.9071100917431193
88,SST2,2145,0.1383,,,
89,SST2,2210,0.1159,,,
90,SST2,2275,0.1622,,,
91,SST2,2340,0.1123,,,
92,SST2,2405,0.0988,,,
93,SST2,2470,0.1155,,,
94,SST2,2535,0.1251,,,
95,SST2,2600,0.1377,,,
96,SST2,2630,,0.32815104722976685,0.9045844951122888,0.9048165137614679
97,SST2,2665,0.0941,,,
98,SST2,2730,0.1042,,,
99,SST2,2795,0.0947,,,
100,SST2,2860,0.0901,,,
101,SST2,2925,0.1242,,,
102,SST2,2990,0.1111,,,
103,SST2,3055,0.1059,,,
104,SST2,3120,0.1077,,,
105,SST2,3156,,0.3272426426410675,0.9057446415860377,0.9059633027522935
106,STSB,22,0.2813,0.5444740653038025,,
107,STSB,44,0.2304,0.5382248759269714,,
108,STSB,66,0.4235,0.5383672118186951,,
109,STSB,88,0.2472,0.539010226726532,,
110,STSB,110,0.2441,0.5342386364936829,,
111,STSB,132,0.272,0.5417370796203613,,
112,STSB,154,0.2351,0.5406984686851501,,
113,STSB,176,0.2394,0.5397263169288635,,
